Status,Date,Title,Price,Price_units,Amount,Amount_units,Waste_type
Открыто,2021-10-11,Катушки,40.0,₽/кг.,3.0,т.,Пластик
Открыто,2021-10-11,Продам книги,10.0,₽/кг.,5.0,т.,Макулатура
Открыто,2021-10-11,Продам гранулу ПП,137.0,₽/кг.,3.0,т.,Пластик
Открыто,2021-10-10,Пэт коррекс  ,37.0,₽/кг.,4.0,т.,Пластик
Открыто,2021-10-10,Продам офисную бумагу,16.0,₽/кг.,15.0,т.,Макулатура
Открыто,2021-10-10,Реализую ПП и ПЭ,60.0,₽/кг.,2.0,т.,Пластик
Открыто,2021-09-21,ПВД Пакеты (черные),12.0,₽/кг.,100.0,т.,Пластик
Открыто,2021-09-21,Посуда полипропилен,11.0,₽/кг.,200.0,т.,Пластик
Открыто,2021-09-21,ПВД пленка,65.0,₽/кг.,30.0,т.,Пластик
Открыто,2021-09-21,Продам бопп прозрачный 100% закрас,40.0,₽/кг.,12000.0,кг.,Пластик
Открыто,2021-09-21,ПП гранула птр 25-27,118.0,₽/кг.,15.0,т.,Пластик
Открыто,2021-09-21,Мешки бумажные без вкладышей ,7.0,₽/кг.,10000.0,кг.,Макулатура
Открыто,2021-09-21,Картон,15.0,₽/кг.,10000.0,кг.,Макулатура
Открыто,2021-09-21,Продам каучуковые шарики (попрыгунчик),12.0,₽/шт.,2000.0,шт.,Остальное
Открыто,2021-09-21,Продам отходы ,25.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-09-21,ПЭТ микс,42.0,₽/кг.,100.0,т.,Пластик
Открыто,2021-09-21,Продам Стрейч Гранулу,90.0,₽/кг.,3600.0,кг.,Пластик
Открыто,2021-09-21,Покрышки автомобильные,1.4,₽/кг.,25.0,т.,Резина
Открыто,2021-09-21,Дробленка ПП,65.0,₽/кг.,2000.0,кг.,Пластик
Открыто,2021-09-20,ПВХ дробленка из медицинского пластика,60.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-09-20,продаю карбамид (мочевина),13.0,₽/кг.,45000.0,кг.,Остальное
Открыто,2021-09-20,"Аддитивы, присадки, модификаторы",0,₽,3500.0,кг.,Остальное
